,D_out,D_in,D_sh,N_coils,TPC,p,wire_w,wire_h,wire_A
0,12.156837403508074,6.168350623063959,1.1461891071515107,19,13,17,0.7698003788613912,1.6325002228311774,1.256699290026746
1,12.696343080181972,6.860140095229056,1.1165813054309437,14,13,14,1.0930961052404153,1.642937762334725,1.795888869160491
2,14.181401084691952,6.086684067736198,0.8898643343581556,16,15,15,1.2535591606468834,2.1658910933775157,2.7150726210668794
3,13.069040690380598,7.211175463949192,0.8867589842952348,19,12,12,0.9994960924061285,2.0465495527068436,2.045518280846
4,13.998880153344974,9.29122617077072,0.8405063990762137,22,11,12,1.062195920544759,1.588128826845123,1.6869039611744236
5,14.987157223641042,6.19593059585781,1.2005323609889573,17,13,11,0.9737782336239263,2.1921167842686877,2.1346356100825243
6,11.061328425940848,6.560505068169577,0.9373295779754796,14,15,16,1.1812374795692933,2.043978663986721,2.4144242053410854
7,15.565200988177804,6.371248671092809,0.8098682820883013,16,10,14,1.1225851228918038,1.5735182040295879,1.7664081264430453
8,11.646561718827023,9.294827098354947,0.9881177359435641,16,14,17,1.1125044475912642,1.9820992401103386,2.2050942201900168
9,14.89026141528625,5.705282985602669,0.8606565067560282,20,10,11,1.129692193468959,1.4646629910280666,1.6546183470273028
10,11.17000344270649,7.765691460307998,0.8631457877273301,20,12,12,1.088080433949342,2.1325810566187755,2.3204197215179034
11,10.531957269886652,6.45923832703647,0.9026720665697748,14,14,11,1.1601323039063838,2.3204468596419425,2.69202536136874
12,10.91560946131197,8.747843656445307,1.1717015301437772,14,10,12,1.0272643595878979,2.034811659231546,2.090289496002482
13,10.10128779932639,6.979867504753955,1.1518056849748657,16,11,11,0.9742765234866821,1.973591587721153,1.9228239508675262
14,12.937247159163338,6.5657956811388996,1.053578751764673,14,14,13,1.0618762163139328,1.7757801046703698,1.8856586585529318
15,14.898165099252594,7.346524620432374,1.1605023148267963,22,12,13,1.0674597543509057,2.372964956018581,2.533044589034902
16,15.102525787131592,8.679514647115678,0.7520553574910513,17,14,16,0.7721393277780294,2.133448081508846,1.6473191675055667
17,10.601084557453621,6.102310438002832,0.9019060250822737,20,15,17,1.0799461133729316,1.7333049060976817,1.8718758966304254
18,11.370784108807127,6.192107692743484,0.8527147691084015,19,9,14,1.164359136365076,1.693826302392969,1.9722221306067274
19,11.058697797407515,8.495935719580903,1.1820586229667365,17,9,15,1.1156822302692042,1.9229161421948158,2.1453633701445662
