,D_out,D_in,D_sh,N_coils,TPC,p,wire_w,wire_h,wire_A
0,13.550157049423524,6.575110407111137,1.2430062180231973,18,14,17,0.7688278249087583,1.9204511264779058,1.4764962624135831
1,15.507542060621393,8.336894096685525,1.2474510658575153,21,11,15,1.2361773750487053,1.915605268800939,2.3680278928158143
2,10.250036834584758,5.988773237958335,1.1303073896539102,21,10,16,1.1127201020893633,2.1366326462623193,2.3774740962764747
3,13.714521545224933,8.21793664527043,0.8834692168289969,18,10,13,0.7944496602390811,1.7484068123850252,1.3890211980589782
4,10.439812699324628,8.097849230482346,1.1307232640135922,21,10,15,1.0203699295005335,2.0873801441902566,2.1298999305682256
5,12.859477094815329,7.656771969524353,1.214362612121902,18,15,12,0.8063812243293006,2.0923292650167027,1.6872150344241943
6,9.80186269687764,7.72355768188473,1.2458493736625313,18,14,11,1.2395238269967628,2.233020622519616,2.7678822677882082
7,12.057122967849473,8.289147264965004,1.2005457265832091,18,15,15,1.076246624264484,2.090390833410593,2.249776077851572
8,14.93290665486251,6.299552603329601,1.1751887057146537,21,11,14,1.0282656389022913,2.264813279685594,2.328829674030301
9,9.967107902633456,6.318960270178924,0.9335607211378363,18,14,13,0.9040630840496492,1.5942566553883128,1.441308588637037
10,12.393244195334383,7.678629957682013,1.2075340128003216,15,14,14,0.7796317597934815,1.7458130203871995,1.3610912773548456
11,14.753866342931085,6.939246756595638,1.1392268117607223,21,11,16,1.054489845952311,1.4985220266208854,1.5801762610076024
12,12.353572126326771,5.690764825748773,1.1447183297312424,15,12,14,1.2587351529345951,2.276624530311497,2.865667326336293
13,13.210886685699855,5.864731121078306,0.7593356166567041,21,11,12,0.9302918833018113,1.9787591793611155,1.8408236035685988
14,14.13428231002903,6.573704802635474,1.2280284454555463,18,15,15,1.2562985005482097,1.6387483579762125,2.0587571049013564
15,11.798424755071151,7.387712806974124,0.7951677068445412,21,12,13,0.8516969759696904,2.266362946893419,1.9302544683188811
16,9.402838302693532,8.242134151795385,1.0816687039819872,21,14,16,1.1892294249431774,1.8969583403956578,2.2559186762898924
17,15.335846772405116,8.207675308569412,0.8390031578320436,21,12,16,1.2268470686879769,2.241893033533626,2.750459896502725
18,13.865101634487624,8.71472046445572,0.855581192086147,18,14,15,0.937269513799899,1.9877956331772069,1.863100246641563
19,14.6966451530893,7.619227394224264,1.1110264432207444,18,12,14,1.056486826666864,2.3754507986716464,2.5096324761918756
20,12.027061949650815,8.516270906828364,0.9022917364557811,21,14,11,1.1933656125179777,1.6745766775494553,1.9983822225121257
21,12.323224400166023,7.496438324201955,0.7808764586932755,18,12,17,1.2500652874552989,1.598063956201572,1.9976842787810702
22,11.322329603052479,6.874633794181145,1.1932962586124336,21,15,17,1.2151029745593374,2.222512530842006,2.7005815872215226
23,15.290870529136772,6.184990092178153,0.9372310483721251,15,12,12,0.9791357232756819,2.080492417444548,2.0370844479241392
24,14.435458540606794,9.280916272314139,1.0485098108172282,18,12,15,0.9555264005747481,1.8703851683532333,1.7872024076049593
25,15.19149910198179,7.455899127267523,1.0890872237767748,15,10,12,1.0302395063508514,1.7149909781601353,1.7668514587358615
26,10.130228425930976,8.418398107670699,0.7577606553020871,15,11,11,0.8869637427899906,2.325634354964084,2.0627533518399295
27,11.025531555351602,7.472507955545168,0.8102981776453154,18,13,11,1.1318646287520355,2.2255902921933295,2.519066929827537
28,10.738971064583927,7.303924106154452,0.9598032856694976,18,14,17,0.9964895030822192,2.120807347634399,2.113362259977322
29,15.54923362962521,6.7563413961204795,1.1194088748563873,18,10,14,1.1482712023542314,2.2989784617605813,2.639850762472304
30,10.40057183242277,8.688624767262464,0.8792235330389494,18,12,16,0.897911609577591,2.043397031854478,1.834789917878526
31,10.93737906788378,7.017877878758555,1.1077307796623426,15,11,12,0.9653750067774852,1.8380088245363688,1.7743677814438747
32,15.414410913038296,7.036261050811106,1.085898730761968,15,10,13,1.1844644769559667,1.7685246161026444,2.0947545843957704
33,12.140911744327772,5.846247620740025,0.8045631686513369,21,11,17,1.060906518903939,1.9108921081807453,2.0272778944910437
